CHURN PREDICTION — MODEL REPORT
============================================================

Model Comparison:
              Model  Accuracy  Precision  Recall     F1  ROC-AUC
            XGBoost    0.9684     0.9040  0.8985 0.9012   0.9919
      Random Forest    0.9501     0.9242  0.7508 0.8285   0.9851
Logistic Regression    0.8416     0.5038  0.8154 0.6228   0.9086
      Decision Tree    0.9334     0.8125  0.7600 0.7854   0.8632

Best Model: XGBoost

Classification Report:
              precision    recall  f1-score   support

    Existing       0.98      0.98      0.98      1701
    Attrited       0.90      0.90      0.90       325

    accuracy                           0.97      2026
   macro avg       0.94      0.94      0.94      2026
weighted avg       0.97      0.97      0.97      2026

Feature Importance:
                 Feature  Importance
          Total_Trans_Ct    0.317210
     Total_Revolving_Bal    0.127663
Total_Relationship_Count    0.118768
         Total_Trans_Amt    0.088217
     Total_Ct_Chng_Q4_Q1    0.052855
  Months_Inactive_12_mon    0.042126
   Contacts_Count_12_mon    0.035718
    Total_Amt_Chng_Q4_Q1    0.034061
            Customer_Age    0.030296
           Card_Category    0.021946
         Avg_Open_To_Buy    0.021929
                  Gender    0.020023
            Credit_Limit    0.019537
   Avg_Utilization_Ratio    0.015520
          Months_on_book    0.013211
         Dependent_count    0.011427
          Marital_Status    0.010585
         Education_Level    0.009936
         Income_Category    0.008972
